Country;Name;Totalfollowers;followerspain;authenticengament;Account2;Links;Category;Subcategory;Subcategory 2;Subcategory 3;Country.1;Marcas1;Marcas2;Marcas3;Marcas4;Marcas5;Marcas6;Marcas7;Marcas8;Marcas9;Marcas10;Tik Tok;Youtube;Twitter;%offemales
United States; Prada ;29000000;1400000;29300;prada;https://www.instagram.com/prada/?hl=es;Fashion;Accessories & Jewellery;Clothing & Outfits;Luxury;italy;@oma.eu,;@gigihadid,;@fondazioneprada,;@vogueitalia,;@ferdinandoverderi,;@032c,;@thomaslohrstudio,;@marcgoehring,;@irinashayk,;@hugocomte;Unknown;Unknown;1600000;
United States; Rita Ora ;16100000;987300;55200;ritaora;https://www.instagram.com/ritaora/?hl=es;Fashion;Music;Unknown;Unknown;italy;@liampayne,;@charli_xcx,;@thomassabo,;@timmsy,;@iamkaj,;@oranick,;@rio_hair,;@ronanpark,;@rimmellondonuki,;@brentlawler;2000000;4000000;6500000;45.5 %
United States; Donatella Versace ;7900000;1100000;70900;donatella_versace;https://www.instagram.com/donatella_versace/?hl=es;Fashion;Unknown;Unknown;Unknown;italy;@versace,;@essentialhomme,;@joaoknorr,;@kendalljenner,;@dualipa,;@nicolekidman,;@goldenglobes,;@thegqstyle,;@gq_korea,;@shakira;Unknown;Unknown;Unknown;50.2 %
United States; Sara Sampaio ;8000000;630200;73500;sarasampaio;https://www.instagram.com/sarasampaio/?hl=es;Fashion;Modeling;Unknown;Unknown;italy;@armanibeauty,;@kelseymerritt,;@juandavidborrero,;@jastookes,;@shaninamshaik,;@lorena,;@guyaroch,;@violetgrey,;@benhassett,;@samvissermakeup;Unknown;Unknown;Unknown;50.8 %
United States; Naomi Campbell ;12300000;741100;45900;naomi;https://www.instagram.com/naomi/?hl=es;Fashion;Modeling;Unknown;Unknown;italy;@akeemjr,;@lindaevangelista,;@adutakech,;@themarcjacobs,;@versace,;@lennykravitz,;@britishvogue,;@patmcgrathreal,;@guidopalau,;@jawaraw;Unknown;Unknown;721000;47.6 %
United States; Alexander McQueen ;11900000;796700;47800;alexandermcqueen;https://www.instagram.com/alexandermcqueen/?hl=es;Fashion;Accessories & Jewellery;Clothing & Outfits;Unknown;italy;@chloeledrezen,;@henrymoorestudios.,;@wild_daughter_,;@annray2046.,;@annray2046,;@maisondemode,;@wild.management,;@revista_estilo,;@triciayap,;@maxmenmodels;Unknown;Unknown;Unknown;63.0 %
Italy; Maria Belen ;10300000;7200000;42600;belenrodriguezreal;https://www.instagram.com/belenrodriguezreal/?hl=es;Fashion;Modeling;Unknown;Unknown;italy;@cristinaisacmua,;@lollomilanosonoio,;@pamthemis,;@farinagiorgi,;@vmaison_brand,;@flovernapoli,;@gnapolistirolo,;@puerta_del_sol_animazione,;@ruedesmille,;@diegodallapalma_official;Unknown;Unknown;Unknown;41.5 %
United States; Victoria Beckham ;29500000;1600000;13500;victoriabeckham;https://www.instagram.com/victoriabeckham/?hl=es;Fashion;Family;Unknown;Unknown;italy;@davidbeckham,;@jackie.adams_,;@brooklynbeckham,;@romeobeckham,;@cruzbeckham,;@mario_sorrenti,;@mrkimjones,;@britishgq,;@bbcfleabag,;@barbrastreisand;Unknown;576000;12000000;66.4 %
Azerbaijan; Fendi ;18800000;1800000;15000;fendi;https://www.instagram.com/fendi/?hl=es;Fashion;Accessories & Jewellery;Clothing & Outfits;Unknown;italy;@silviaventurinifendi,;@ganio,;@tommy.dorfman,;@jacksonwang852g7,;@leonettalf,;@delfinadelettrez,;@tanzhuo,;@penelope.ternes,;@franciskurkdjian.,;@designmiami;Unknown;yes;yes;54.2 %
Brazil; Alessandra Ambrosio ;10800000;620400;21800;alessandraambrosio;https://www.instagram.com/alessandraambrosio/?hl=es;Fashion;Modeling;Unknown;Unknown;italy;@omega,;@stewartshining,;@galfloripa,;@anjalouise.a.m,;@harpersbazaarus,;@therealpeterlindbergh,;@mosalah,;@peggysirota,;@kateahazell],;@lorettadegoede;Unknown;Unknown;Unknown;46.1 %
United States; Burberry ;19000000;1000000;9900;burberry;https://www.instagram.com/burberry/?hl=es;Fashion;Clothing & Outfits;Accessories & Jewellery;Unknown;italy;@irinashayk,;@burberrybeauty,;@dankosteiner,;@sola5532,;@mahmood,;@leat,;@hyeonseeeok_,;@annabelrosendahl,;@merrylinboro,;@jordanrisa;1000000;374100;8200000;50.5 %
Unknown; Valentino ;16300000;2500000;10600;maisonvalentino;https://www.instagram.com/maisonvalentino/?hl=es;Fashion;Clothing & Outfits;Accessories & Jewellery;Unknown;italy;@pppiccioli,;@layzhang,;@anwarspc,;@janetmock,;@tinaleung,;@aminamuaddi,;@carodaur,;@gildaambrosio,;@germanlarkin,;@fkatwigs;Unknown;Unknown;yes;
Italy; Ludovica Pagani;3100000;2200000;46800;ludovicapagani;https://www.instagram.com/ludovicapagani/?hl=es;Fashion;Unknown;Unknown;Unknown;italy;@cotrilspa,;@pinkoofficial,;@marcelo_brozovic,;@romelulukaku,;@ticketag_official,;@incantoofficial,;@giopiushoes,;@orettac,;@chimagazineit,;@tvsorrisi;no ;no;no;11.0 %
United States; GIVENCHY ;15000000;935100;8300;givenchyofficial;https://www.instagram.com/givenchyofficial/?hl=es;Fashion;Clothing & Outfits;Accessories & Jewellery;Unknown;italy;@tmagazinechina,;@yucongyucong,;@mynameisilence.,;@rosa_h_f,;@anarodriguezlaguna,;@debbiessavage,;@vmagazine,;@kayo,;@markmalta,;@givenchyofficial;Unknown;Unknown;Unknown;53.6 %
United States; Michael Kors ;17100000;1000000;8700;michaelkors;https://www.instagram.com/michaelkors/?hl=es;Fashion;Clothing & Outfits;Accessories & Jewellery;Unknown;italy;@bellahadid,;@voguemagazine,;@godslovenyc,;@austinaugie,;@dickpageface,;@mayowanicholas,;@tinaleung,;@olafarahat,;@maryleest,;@jessicawang;yes;yes;yes;69.0 %
United States; SAINT LAURENT ;10000000;817400;12200;ysl;https://www.instagram.com/ysl/?hl=es;Fashion;Clothing & Outfits;Accessories & Jewellery;Unknown;italy;@anthonyvaccarello,;@davidsimsofficial,;@sebastian_edbgr,;@ncanguilhem,;@atlargemagazine,;@gregwilliamsphotography,;@michaelhalsband,;@cibelemaciet,;@crystalland.ru,;@sincerelykn;yes;yes;yes;54.2 %
United States; Balenciaga  ;13000000;717700;8700;balenciaga;https://www.instagram.com/balenciaga/?hl=es;Fashion;Clothing & Outfits;Accessories & Jewellery;Unknown;italy;@j0nsant0s,;@revista_estilo,;@rosa_h_f,;@specialmanagementmen,;@secondchancebag,;@ismorbo,;@garage_magazine,;@upscalehype,;@bini_silvia_passeggiata,;@sinstar23;yes;yes;yes;40.7 %
Italy; Marta Losito;2300000;1700000;36300;marta.losito;https://www.instagram.com/marta.losito/?hl=es;Fashion;Beauty;Fashion;Unknown;italy;@theofficialpandora,;@clarinsitalia,;@dolcegabbana,;@dolcegabbana_man,;@ghditalia,;@pigna,;@deaplanetalibri,;@shiseido,;@wasobeauty,;@isalarana;4500000;706500;Unknown;80.1 %
United States; HYPEBEAST ;10200000;800600;7700;hypebeast;https://www.instagram.com/hypebeast/?hl=es;Fashion;Accessories & Jewellery;Clothing & Outfits;Unknown;italy;@nike,;@porsche,;@thenorthface,;@futuradosmil,;@supremenewyork,;@nikesb,;@jumpman23,;@takashipom,;@virgilabloh,;@palaceskateboards;1600000;1000000;797000;13.2 %
United States; Off-White;10700000;1100000;6400;off____white;https://www.instagram.com/off____white/?hl=es;Fashion;Unknown;Unknown;Unknown;italy;@virgilabloh,;@off___white__paris,;@em___pty___gallery,;@off___white___mykonos,;@francescacefiscasoli,;@nike,;@chilldays,;@off___white___active,;@km20conceptstore,;@fabienmontique;yes;Unknown;Unknown;26.4 %
United States; Balmain ;11300000;656700;5400;balmain;https://www.instagram.com/balmain/?hl=es;Fashion;Fashion;Accessories & Jewellery;Clothing & Outfits;italy;@olivier_rousteing,;@beyonce,;@red,;@olivier_rousteing.,;@machinegunkelly,;@camillerazat,;@s_moda,;@adesuwa,;@pauladelgado_sj,;@jackwaterlotstudio.;yes;yes;yes;60.0 %
Italy; Lucia Javorcekova;2200000;540600;33400;luciajavorcekova;https://www.instagram.com/luciajavorcekova/?hl=es;Fashion;Modeling;Unknown;Unknown;italy;@bodyengineers,;@bodyengineerswomen,;@yesvisage,;@bebe.hair,;@monikaculen,;@mondieucafe,;@polat_elalmis_official,;@matejzrebny,;@lukasfrlajs,;@davidduducz_fotograf;Unknown;Unknown;Unknown;8.4 %
Italy; Alessia Marcuzzi ;5300000;3900000;15100;alessiamarcuzzi;https://www.instagram.com/alessiamarcuzzi/?hl=es;Fashion;Unknown;Unknown;Unknown;italy;@sabrifari,;@lavale_lavale,;@redazioneiene,;@gialappasbandofficial,;@ezia.mod,;@marksandangels,;@nadejdasavcova,;@clascutti,;@ivana_mat_,;@mariaconcettapincerno;Unknown;Unknown;Unknown;63.1 %
United States; Miu Miu ;8900000;876600;7900;miumiu;https://www.instagram.com/miumiu/?hl=es;Fashion;Unknown;Unknown;Unknown;italy;@kegrand,;@ellefanning,;@brigittelacombe,;@fondazioneprada.,;@the_business_debate,;@reuters,;@yale,;@polimi.,;@cosmopolitan.,;@bazaaruk.;Unknown;yes;Unknown;68.5 %
Italy; Giulia Salemi ;1800000;1300000;30800;giuliasalemi;https://www.instagram.com/giuliasalemi/?hl=es;Fashion;Beauty;Unknown;Unknown;italy;@ghditalia,;@luigi_gentile_real,;@mariluvenditti_ph,;@karllagerfeld,;@chimagazineit,;@alfosignorini,;@vapalm,;@gianlucasarago,;@deha.it,;@crimelondon;453500;Unknown;yes;53.4 %
United States; Olivia Palermo ;7000000;583800;8400;oliviapalermo;https://www.instagram.com/oliviapalermo/?hl=es;Fashion;Beauty;Lifestyle;Unknown;italy;@piaget,;@johanneshuebl,;@instagram,;@casadeiofficial,;@danielmartin,;@msalekwek,;@tommyhilfiger,;@mrmrsitaly,;@glamourmag,;@instylemagazine;Unknown;Unknown;Unknown;72.8 %
United States; Christian Louboutin ;15100000;884100;4300;louboutinworld;https://www.instagram.com/louboutinworld/?hl=es;Fashion;Literature & Journalism;Unknown;Unknown;italy;@faridakhelfa,;@faridakhelfa.,;@felix_cooper,;@janellemonae.,;@fashion_style_weddings,;@jasonhisley,;@covetboston,;@sonamkapoor,;@stylebyami,;@lepiuaffascinantidimilano;Unknown;Unknown;Unknown;67.1 %
